time,Q,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,UKIH,Fixed,Local,Slide
2001-01-01,4.089,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,2.3518536985079073,4.089,2.3518536985079073,4.089
2001-01-02,6.633,2.2071364308193595,2.3656541636927066,2.3919401522795156,2.398083089997144,2.339547620124114,2.3981341491700485,2.412645975989095,2.368752642428806,2.2071364308193595,4.089,2.2071364308193595,4.089
2001-01-03,6.53,2.0395292833182266,2.404500646442091,2.4282206762097487,2.4400410102034686,2.3828289202971655,2.4401391875667247,2.4711124031300495,2.411796816546236,2.0395292833182266,4.089,2.0395292833182266,4.089
2001-01-04,4.725,1.8472027192967313,2.4216857826509446,2.4254896142187934,2.4401330495880726,2.4220258751009434,2.4402545576868584,2.503117607005603,2.4319856411171257,1.8472027192967313,4.089,1.8472027192967313,3.968
2001-01-05,4.242,1.6442354541383584,2.4141299468094943,2.4128363662610326,2.429500397227355,2.420477075799069,2.429638538683831,2.5278097369861237,2.4261186900885106,1.6442354541383584,4.089,1.6442354541383584,3.804
2001-01-06,3.968,1.444714004473901,2.3989444374394906,2.3950158146815395,2.4132426075022053,2.4085410676356123,2.4133935603004466,2.548260438720921,2.4121705425871087,1.444714004473901,1.587,1.444714004473901,3.694
2001-01-07,3.804,1.246771896728542,2.3797984884161205,2.374528247753295,2.3940428216926994,2.391186461729055,2.394204289702067,2.566091940491084,2.3940004423335157,1.246771896728542,1.587,1.246771896728542,2.71
2001-01-08,3.694,1.0438885370038293,2.358580071639,2.35260649603552,2.3732259724024827,2.3710262440145002,2.3733964286824327,2.5821082349361104,2.3735953484076764,1.0438885370038293,1.587,1.0438885370038293,1.587
2001-01-09,2.71,0.8689065264906264,2.326767885237129,2.3111503616744313,2.331462069690799,2.3493493925483673,2.3316297678775424,2.5839242980000177,2.3420243420748452,0.8689065264906264,1.587,0.8689065264906264,1.347
2001-01-10,1.587,0.7651557043141908,1.587,1.587,1.587,1.587,1.587,1.587,1.587,0.7651557043141908,1.587,0.7651557043141908,1.157
2001-01-11,1.347,0.7082494100693955,1.347,1.347,1.347,1.347,1.347,1.347,1.347,0.7082494100693955,0.881,0.7082494100693955,1.028
2001-01-12,1.157,0.6641615243993464,1.157,1.157,1.157,1.157,1.157,1.157,1.157,0.6641615243993464,0.881,0.6641615243993464,0.914
2001-01-13,1.028,0.6294313777290231,1.028,1.028,1.028,1.028,1.028,1.028,1.028,0.6294313777290231,0.881,0.6294313777290231,0.881
2001-01-14,0.914,0.601736624571917,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.601736624571917,0.881,0.601736624571917,0.881
2001-01-15,0.881,0.5777558103480184,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.5777558103480184,0.881,0.881,0.881
2001-01-16,0.947,0.5530681057816416,0.8631954569037019,0.8640660938764153,0.8641862189956754,0.8623063461668772,0.8641872174575703,0.8819372,0.8632387022921232,0.5530681057816416,0.693,0.8486428571428571,0.83
2001-01-17,0.965,0.5260578423990719,0.8470203882411071,0.8482098867263635,0.8484940171500022,0.8458423758946894,0.8484963774016414,0.88311669176,0.8471659000087608,0.5260578423990719,0.693,0.8162857142857143,0.747
2001-01-18,0.83,0.4990254630665643,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.4990254630665643,0.693,0.7839285714285714,0.693
